key	advice_level_lookup	persistant	show_instant	show_on_navigate	is_header	navigation_order
Region.87.Acquire.001	500087	false	true	true	false	1
Region.85.Acquire.001	500085	false	true	true	false	1
Region.92.Acquire.001	500092	false	true	true	false	1
Region.90.Acquire.001	500090	false	true	true	false	1
Region.91.Acquire.001	500091	false	true	true	false	1
Region.89.Acquire.001	500089	false	true	true	false	1
Region.96.Acquire.001	500096	false	true	true	false	1
Region.94.Acquire.001	500094	false	true	true	false	1
Region.95.Acquire.001	500095	false	true	true	false	1
Region.93.Acquire.001	500093	false	true	true	false	1
Region.104.Acquire.001	500204	false	true	true	false	1
Region.108.Acquire.001	500208	false	true	true	false	1
Region.107.Acquire.001	500207	false	true	true	false	1
Region.105.Acquire.001	500205	false	true	true	false	1
Region.109.Acquire.001	500209	false	true	true	false	1
Region.110.Acquire.001	500210	false	true	true	false	1
Region.106.Acquire.001	500206	false	true	true	false	1
Region.103.Acquire.001	500103	false	true	true	false	1
Region.102.Acquire.001	500102	false	true	true	false	1
Region.101.Acquire.001	500101	false	true	true	false	1
Region.100.Acquire.001	500100	false	true	true	false	1
Region.98.Acquire.001	500098	false	true	true	false	1
Region.99.Acquire.001	500099	false	true	true	false	1
Region.97.Acquire.001	500097	false	true	true	false	1
Major_Region.1.Acquire.001	500199	false	true	true	false	0
Major_Region.2.Acquire.001	500187	false	true	true	false	0
Major_Region.3.Acquire.001	500176	false	true	true	false	0
Major_Region.4.Acquire.001	500165	false	true	true	false	0
Major_Region.5.Acquire.001	500154	false	true	true	false	0
Major_Region.6.Acquire.001	500143	false	true	true	false	0
Major_Region.7.Acquire.001	500132	false	true	true	false	0
Major_Region.8.Acquire.001	500121	false	true	true	false	0
Major_Region.9.Acquire.001	500110	false	true	true	false	0
Major_Region.10.Acquire.001	500198	false	true	true	false	0
Major_Region.11.Acquire.001	500196	false	true	true	false	0
Major_Region.12.Acquire.001	500195	false	true	true	false	0
Major_Region.13.Acquire.001	500194	false	true	true	false	0
Major_Region.14.Acquire.001	500193	false	true	true	false	0
Major_Region.15.Acquire.001	500192	false	true	true	false	0
Major_Region.16.Acquire.001	500191	false	true	true	false	0
Major_Region.17.Acquire.001	500190	false	true	true	false	0
Major_Region.18.Acquire.001	500189	false	true	true	false	0
Major_Region.19.Acquire.001	500188	false	true	true	false	0
Major_Region.20.Acquire.001	500186	false	true	true	false	0
Major_Region.21.Acquire.001	500185	false	true	true	false	0
Major_Region.22.Acquire.001	500184	false	true	true	false	0
Major_Region.23.Acquire.001	500183	false	true	true	false	0
Major_Region.24.Acquire.001	500182	false	true	true	false	0
Major_Region.25.Acquire.001	500181	false	true	true	false	0
Major_Region.26.Acquire.001	500180	false	true	true	false	0
Major_Region.27.Acquire.001	500179	false	true	true	false	0
Major_Region.28.Acquire.001	500178	false	true	true	false	0
Major_Region.29.Acquire.001	500177	false	true	true	false	0
Major_Region.30.Acquire.001	500175	false	true	true	false	0
Major_Region.31.Acquire.001	500174	false	true	true	false	0
Major_Region.32.Acquire.001	500173	false	true	true	false	0
Major_Region.33.Acquire.001	500172	false	true	true	false	0
Major_Region.34.Acquire.001	500171	false	true	true	false	0
Major_Region.35.Acquire.001	500170	false	true	true	false	0
Major_Region.36.Acquire.001	500169	false	true	true	false	0
Major_Region.37.Acquire.001	500168	false	true	true	false	0
Major_Region.38.Acquire.001	500167	false	true	true	false	0
Major_Region.39.Acquire.001	500166	false	true	true	false	0
Major_Region.40.Acquire.001	500164	false	true	true	false	0
Major_Region.41.Acquire.001	500163	false	true	true	false	0
Major_Region.42.Acquire.001	500162	false	true	true	false	0
Major_Region.43.Acquire.001	500161	false	true	true	false	0
Major_Region.44.Acquire.001	500160	false	true	true	false	0
Major_Region.45.Acquire.001	500159	false	true	true	false	0
Major_Region.46.Acquire.001	500158	false	true	true	false	0
Major_Region.47.Acquire.001	500157	false	true	true	false	0
Major_Region.48.Acquire.001	500156	false	true	true	false	0
Major_Region.49.Acquire.001	500155	false	true	true	false	0
Major_Region.50.Acquire.001	500153	false	true	true	false	0
Major_Region.51.Acquire.001	500152	false	true	true	false	0
Major_Region.52.Acquire.001	500151	false	true	true	false	0
Major_Region.53.Acquire.001	500150	false	true	true	false	0
Major_Region.54.Acquire.001	500149	false	true	true	false	0
Major_Region.55.Acquire.001	500148	false	true	true	false	0
Major_Region.56.Acquire.001	500147	false	true	true	false	0
Major_Region.57.Acquire.001	500146	false	true	true	false	0
Major_Region.58.Acquire.001	500145	false	true	true	false	0
Major_Region.59.Acquire.001	500144	false	true	true	false	0
Major_Region.60.Acquire.001	500142	false	true	true	false	0
Major_Region.61.Acquire.001	500141	false	true	true	false	0
Major_Region.62.Acquire.001	500140	false	true	true	false	0
Major_Region.63.Acquire.001	500139	false	true	true	false	0
Major_Region.64.Acquire.001	500138	false	true	true	false	0
Major_Region.65.Acquire.001	500137	false	true	true	false	0
Major_Region.66.Acquire.001	500136	false	true	true	false	0
Major_Region.67.Acquire.001	500135	false	true	true	false	0
Major_Region.68.Acquire.001	500134	false	true	true	false	0
Major_Region.69.Acquire.001	500133	false	true	true	false	0
Major_Region.70.Acquire.001	500131	false	true	true	false	0
Major_Region.71.Acquire.001	500130	false	true	true	false	0
Major_Region.72.Acquire.001	500129	false	true	true	false	0
Major_Region.73.Acquire.001	500128	false	true	true	false	0
Major_Region.74.Acquire.001	500127	false	true	true	false	0
Major_Region.75.Acquire.001	500126	false	true	true	false	0
Major_Region.76.Acquire.001	500125	false	true	true	false	0
Major_Region.77.Acquire.001	500124	false	true	true	false	0
Major_Region.78.Acquire.001	500123	false	true	true	false	0
Major_Region.79.Acquire.001	500122	false	true	true	false	0
Major_Region.80.Acquire.001	500120	false	true	true	false	0
Major_Region.81.Acquire.001	500119	false	true	true	false	0
Major_Region.82.Acquire.001	500118	false	true	true	false	0
Major_Region.83.Acquire.001	500117	false	true	true	false	0
Major_Region.84.Acquire.001	500116	false	true	true	false	0
Major_Region.85.Acquire.001	500115	false	true	true	false	0
Major_Region.86.Acquire.001	500114	false	true	true	false	0
Major_Region.87.Acquire.001	500113	false	true	true	false	0
Major_Region.88.Acquire.001	500112	false	true	true	false	0
Major_Region.89.Acquire.001	500111	false	true	true	false	0
Major_Region.90.Acquire.001	500109	false	true	true	false	0
Major_Region.91.Acquire.001	500108	false	true	true	false	0
Major_Region.92.Acquire.001	500107	false	true	true	false	0
Major_Region.93.Acquire.001	500106	false	true	true	false	0
Major_Region.94.Acquire.001	500105	false	true	true	false	0
Major_Region.95.Acquire.001	500104	false	true	true	false	0
Major_Region.96.Acquire.001	500203	false	true	true	false	0
Major_Region.97.Acquire.001	500202	false	true	true	false	0
Major_Region.98.Acquire.001	500201	false	true	true	false	0
Major_Region.99.Acquire.001	500200	false	true	true	false	0
Major_Region.100.Acquire.001	500197	false	true	true	false	0
Client_Region.0.Acquire.001	500211	false	true	true	false	0
Client_Region.1.Acquire.001	500212	false	true	true	false	0
Client_Region.2.Acquire.001	500213	false	true	true	false	0
Client_Region.3.Acquire.001	500214	false	true	true	false	0
Client_Region.4.Acquire.001	500215	false	true	true	false	0
Client_Region.5.Acquire.001	500216	false	true	true	false	0
Client_Region.6.Acquire.001	500217	false	true	true	false	0
Client_Region.7.Acquire.001	500218	false	true	true	false	0
Client_Region.8.Acquire.001	500219	false	true	true	false	0
Client_Region.9.Acquire.001	500220	false	true	true	false	0
Client_Region.10.Acquire.001	500221	false	true	true	false	0
Client_Region.11.Acquire.001	500222	false	true	true	false	0
Client_Region.12.Acquire.001	500223	false	true	true	false	0
Client_Region.13.Acquire.001	500224	false	true	true	false	0
Client_Region.14.Acquire.001	500225	false	true	true	false	0
Client_Region.15.Acquire.001	500226	false	true	true	false	0
Client_Region.16.Acquire.001	500227	false	true	true	false	0
Client_Region.17.Acquire.001	500228	false	true	true	false	0
Client_Region.18.Acquire.001	500229	false	true	true	false	0
Client_Region.19.Acquire.001	500230	false	true	true	false	0
Client_Region.20.Acquire.001	500231	false	true	true	false	0
Client_Region.21.Acquire.001	500232	false	true	true	false	0
Client_Region.22.Acquire.001	500233	false	true	true	false	0
Client_Region.23.Acquire.001	500234	false	true	true	false	0
Client_Region.24.Acquire.001	500235	false	true	true	false	0
Client_Region.25.Acquire.001	500236	false	true	true	false	0
Client_Region.26.Acquire.001	500237	false	true	true	false	0
Client_Region.27.Acquire.001	500238	false	true	true	false	0
Client_Region.28.Acquire.001	500239	false	true	true	false	0
Client_Region.29.Acquire.001	500240	false	true	true	false	0
Client_Region.30.Acquire.001	500241	false	true	true	false	0
Client_Region.31.Acquire.001	500242	false	true	true	false	0
Client_Region.32.Acquire.001	500243	false	true	true	false	0
Client_Region.33.Acquire.001	500244	false	true	true	false	0
Client_Region.34.Acquire.001	500245	false	true	true	false	0
Client_Region.35.Acquire.001	500246	false	true	true	false	0
Client_Region.36.Acquire.001	500247	false	true	true	false	0
Client_Region.37.Acquire.001	500248	false	true	true	false	0
Client_Region.38.Acquire.001	500249	false	true	true	false	0
Client_Region.39.Acquire.001	500250	false	true	true	false	0
Client_Region.40.Acquire.001	500251	false	true	true	false	0
Client_Region.41.Acquire.001	500252	false	true	true	false	0
Client_Region.42.Acquire.001	500253	false	true	true	false	0
Client_Region.43.Acquire.001	500254	false	true	true	false	0
Client_Region.44.Acquire.001	500255	false	true	true	false	0
Client_Region.45.Acquire.001	500256	false	true	true	false	0
Client_Region.46.Acquire.001	500257	false	true	true	false	0
Client_Region.47.Acquire.001	500258	false	true	true	false	0
Client_Region.48.Acquire.001	500259	false	true	true	false	0
Client_Region.49.Acquire.001	500260	false	true	true	false	0
Client_Region.50.Acquire.001	500261	false	true	true	false	0
Client_Region.51.Acquire.001	500262	false	true	true	false	0
Client_Region.52.Acquire.001	500263	false	true	true	false	0
Client_Region.53.Acquire.001	500264	false	true	true	false	0
Client_Region.54.Acquire.001	500265	false	true	true	false	0
Client_Region.55.Acquire.001	500266	false	true	true	false	0
Client_Region.56.Acquire.001	500267	false	true	true	false	0
Client_Region.57.Acquire.001	500268	false	true	true	false	0
Client_Region.58.Acquire.001	500269	false	true	true	false	0
Client_Region.59.Acquire.001	500270	false	true	true	false	0
Client_Region.60.Acquire.001	500271	false	true	true	false	0
Client_Region.61.Acquire.001	500272	false	true	true	false	0
Client_Region.62.Acquire.001	500273	false	true	true	false	0
Client_Region.63.Acquire.001	500274	false	true	true	false	0
Client_Region.64.Acquire.001	500275	false	true	true	false	0
Client_Region.65.Acquire.001	500276	false	true	true	false	0
Client_Region.66.Acquire.001	500277	false	true	true	false	0
Client_Region.67.Acquire.001	500278	false	true	true	false	0
Client_Region.68.Acquire.001	500279	false	true	true	false	0
Client_Region.69.Acquire.001	500280	false	true	true	false	0
Client_Region.70.Acquire.001	500281	false	true	true	false	0
Client_Region.71.Acquire.001	500282	false	true	true	false	0
Client_Region.72.Acquire.001	500283	false	true	true	false	0
Client_Region.73.Acquire.001	500284	false	true	true	false	0
Client_Region.74.Acquire.001	500285	false	true	true	false	0
Client_Region.75.Acquire.001	500286	false	true	true	false	0
Client_Region.76.Acquire.001	500287	false	true	true	false	0
Client_Region.77.Acquire.001	500288	false	true	true	false	0
Client_Region.78.Acquire.001	500289	false	true	true	false	0
Client_Region.79.Acquire.001	500290	false	true	true	false	0
Client_Region.80.Acquire.001	500291	false	true	true	false	0
Client_Region.81.Acquire.001	500292	false	true	true	false	0
Client_Region.82.Acquire.001	500293	false	true	true	false	0
Client_Region.83.Acquire.001	500294	false	true	true	false	0
Client_Region.84.Acquire.001	500295	false	true	true	false	0
Client_Region.85.Acquire.001	500296	false	true	true	false	0
Client_Region.86.Acquire.001	500297	false	true	true	false	0
Client_Region.87.Acquire.001	500298	false	true	true	false	0
Client_Region.88.Acquire.001	500299	false	true	true	false	0
Client_Region.89.Acquire.001	500300	false	true	true	false	0
Client_Region.90.Acquire.001	500301	false	true	true	false	0
Client_Region.91.Acquire.001	500302	false	true	true	false	0
Client_Region.92.Acquire.001	500303	false	true	true	false	0
Client_Region.93.Acquire.001	500304	false	true	true	false	0
Client_Region.94.Acquire.001	500305	false	true	true	false	0
Client_Region.95.Acquire.001	500306	false	true	true	false	0
Client_Region.96.Acquire.001	500307	false	true	true	false	0
Client_Region.97.Acquire.001	500308	false	true	true	false	0
Client_Region.98.Acquire.001	500309	false	true	true	false	0
Client_Region.99.Acquire.001	500310	false	true	true	false	0
Client_Region.100.Acquire.001	500311	false	true	true	false	0
Client_Major_Region.0.Acquire.001	500312	false	true	true	false	0
Client_Major_Region.1.Acquire.001	500313	false	true	true	false	0
Client_Major_Region.2.Acquire.001	500314	false	true	true	false	0
Client_Major_Region.3.Acquire.001	500315	false	true	true	false	0
Client_Major_Region.4.Acquire.001	500316	false	true	true	false	0
Client_Major_Region.5.Acquire.001	500317	false	true	true	false	0
Client_Major_Region.6.Acquire.001	500318	false	true	true	false	0
Client_Major_Region.7.Acquire.001	500319	false	true	true	false	0
Client_Major_Region.8.Acquire.001	500320	false	true	true	false	0
Client_Major_Region.9.Acquire.001	500321	false	true	true	false	0
Client_Major_Region.10.Acquire.001	500322	false	true	true	false	0
Client_Major_Region.11.Acquire.001	500323	false	true	true	false	0
Client_Major_Region.12.Acquire.001	500324	false	true	true	false	0
Client_Major_Region.13.Acquire.001	500325	false	true	true	false	0
Client_Major_Region.14.Acquire.001	500326	false	true	true	false	0
Client_Major_Region.15.Acquire.001	500327	false	true	true	false	0
Client_Major_Region.16.Acquire.001	500328	false	true	true	false	0
Client_Major_Region.17.Acquire.001	500329	false	true	true	false	0
Client_Major_Region.18.Acquire.001	500330	false	true	true	false	0
Client_Major_Region.19.Acquire.001	500331	false	true	true	false	0
Client_Major_Region.20.Acquire.001	500332	false	true	true	false	0
Client_Major_Region.21.Acquire.001	500333	false	true	true	false	0
Client_Major_Region.22.Acquire.001	500334	false	true	true	false	0
Client_Major_Region.23.Acquire.001	500335	false	true	true	false	0
Client_Major_Region.24.Acquire.001	500336	false	true	true	false	0
Client_Major_Region.25.Acquire.001	500337	false	true	true	false	0
Client_Major_Region.26.Acquire.001	500338	false	true	true	false	0
Client_Major_Region.27.Acquire.001	500339	false	true	true	false	0
Client_Major_Region.28.Acquire.001	500340	false	true	true	false	0
Client_Major_Region.29.Acquire.001	500341	false	true	true	false	0
Client_Major_Region.30.Acquire.001	500342	false	true	true	false	0
Client_Major_Region.31.Acquire.001	500343	false	true	true	false	0
Client_Major_Region.32.Acquire.001	500344	false	true	true	false	0
Client_Major_Region.33.Acquire.001	500345	false	true	true	false	0
Client_Major_Region.34.Acquire.001	500346	false	true	true	false	0
Client_Major_Region.35.Acquire.001	500347	false	true	true	false	0
Client_Major_Region.36.Acquire.001	500348	false	true	true	false	0
Client_Major_Region.37.Acquire.001	500349	false	true	true	false	0
Client_Major_Region.38.Acquire.001	500350	false	true	true	false	0
Client_Major_Region.39.Acquire.001	500351	false	true	true	false	0
Client_Major_Region.40.Acquire.001	500352	false	true	true	false	0
Client_Major_Region.41.Acquire.001	500353	false	true	true	false	0
Client_Major_Region.42.Acquire.001	500354	false	true	true	false	0
Client_Major_Region.43.Acquire.001	500355	false	true	true	false	0
Client_Major_Region.44.Acquire.001	500356	false	true	true	false	0
Client_Major_Region.45.Acquire.001	500357	false	true	true	false	0
Client_Major_Region.46.Acquire.001	500358	false	true	true	false	0
Client_Major_Region.47.Acquire.001	500359	false	true	true	false	0
Client_Major_Region.48.Acquire.001	500360	false	true	true	false	0
Client_Major_Region.49.Acquire.001	500361	false	true	true	false	0
Client_Major_Region.50.Acquire.001	500362	false	true	true	false	0
Client_Major_Region.51.Acquire.001	500363	false	true	true	false	0
Client_Major_Region.52.Acquire.001	500364	false	true	true	false	0
Client_Major_Region.53.Acquire.001	500365	false	true	true	false	0
Client_Major_Region.54.Acquire.001	500366	false	true	true	false	0
Client_Major_Region.55.Acquire.001	500367	false	true	true	false	0
Client_Major_Region.56.Acquire.001	500368	false	true	true	false	0
Client_Major_Region.57.Acquire.001	500369	false	true	true	false	0
Client_Major_Region.58.Acquire.001	500370	false	true	true	false	0
Client_Major_Region.59.Acquire.001	500371	false	true	true	false	0
Client_Major_Region.60.Acquire.001	500372	false	true	true	false	0
Client_Major_Region.61.Acquire.001	500373	false	true	true	false	0
Client_Major_Region.62.Acquire.001	500374	false	true	true	false	0
Client_Major_Region.63.Acquire.001	500375	false	true	true	false	0
Client_Major_Region.64.Acquire.001	500376	false	true	true	false	0
Client_Major_Region.65.Acquire.001	500377	false	true	true	false	0
Client_Major_Region.66.Acquire.001	500378	false	true	true	false	0
Client_Major_Region.67.Acquire.001	500379	false	true	true	false	0
Client_Major_Region.68.Acquire.001	500380	false	true	true	false	0
Client_Major_Region.69.Acquire.001	500381	false	true	true	false	0
Client_Major_Region.70.Acquire.001	500382	false	true	true	false	0
Client_Major_Region.71.Acquire.001	500383	false	true	true	false	0
Client_Major_Region.72.Acquire.001	500384	false	true	true	false	0
Client_Major_Region.73.Acquire.001	500385	false	true	true	false	0
Client_Major_Region.74.Acquire.001	500386	false	true	true	false	0
Client_Major_Region.75.Acquire.001	500387	false	true	true	false	0
Client_Major_Region.76.Acquire.001	500388	false	true	true	false	0
Client_Major_Region.77.Acquire.001	500389	false	true	true	false	0
Client_Major_Region.78.Acquire.001	500390	false	true	true	false	0
Client_Major_Region.79.Acquire.001	500391	false	true	true	false	0
Client_Major_Region.80.Acquire.001	500392	false	true	true	false	0
Client_Major_Region.81.Acquire.001	500393	false	true	true	false	0
Client_Major_Region.82.Acquire.001	500394	false	true	true	false	0
Client_Major_Region.83.Acquire.001	500395	false	true	true	false	0
Client_Major_Region.84.Acquire.001	500396	false	true	true	false	0
Client_Major_Region.85.Acquire.001	500397	false	true	true	false	0
Client_Major_Region.86.Acquire.001	500398	false	true	true	false	0
Client_Major_Region.87.Acquire.001	500399	false	true	true	false	0
Client_Major_Region.88.Acquire.001	500400	false	true	true	false	0
Client_Major_Region.89.Acquire.001	500401	false	true	true	false	0
Client_Major_Region.90.Acquire.001	500402	false	true	true	false	0
Client_Major_Region.91.Acquire.001	500403	false	true	true	false	0
Client_Major_Region.92.Acquire.001	500404	false	true	true	false	0
Client_Major_Region.93.Acquire.001	500405	false	true	true	false	0
Client_Major_Region.94.Acquire.001	500406	false	true	true	false	0
Client_Major_Region.95.Acquire.001	500407	false	true	true	false	0
Client_Major_Region.96.Acquire.001	500408	false	true	true	false	0
Client_Major_Region.97.Acquire.001	500409	false	true	true	false	0
Client_Major_Region.98.Acquire.001	500410	false	true	true	false	0
Client_Major_Region.99.Acquire.001	500411	false	true	true	false	0
Client_Major_Region.100.Acquire.001	500412	false	true	true	false	0
Major_Region.0.Acquire.001	500413	false	true	true	false	0
